no,tag,title,original price,discount,available month,available date,available day,summary," seller"," date"," condition"," note",,,,,
0,house,1B1B Apartment,$,$2150,11,11,Tuesday,"Charming 1 Bedroom, 1 Bath Apartment in Prime Location","K&S","April 2022","Execellent","Water & garbage is paid by the owner",Gated parking lot ($75/month),Perfect location,"1 min from the CSV, Safeway, park, UPS, USPS",15 mins from the campus and BART station,Great view
1,bed,Queen-size bed,$350,$99,11,8,Friday,Queen-size medium-firmness mattress," Mattress Firm","April 2022","Normal","Queen size",Medium-firmness,,,,
2,tv,TV+stand+Mi,$150,$104.9,10,18,Friday,Samsung 43 inch full HD TV,"Secondhand","July 2023","Good","Comes with a TV stand and a Xiaomi Mi TV stick","Mi TV (Netflix, Youtube, Disney+, tving, ...)",,,,
3,bike,Bike for women,$150,$89.9,9,1,Sunday,21 speed mountain bike for women,"Secondhand","April 2022","Good","Suitable for between 155cm (5.1') to 165cm(5.5')",Comes with a light and a lock,,,,
4,scooter,Electric bike,$1390,$699.9,11,8,Friday,Quite and colorful electric bike,"HMP","September 2023","Normal","Non-removable battery",5-hour full charge time,30 miles of travel with a full charge,The top speed is 20 mph on the flat,Built-in security warning system,Airtag equipped for tracking
5,sofa,Beige sofa,$249.0,$49.9,9,1,Sunday,Vissle fabrid in polyester sofa,"Ikea","April 2022","Normal","Durable material with a smooth weave",,,,,
6,table,Dining table,$264.6,$89.9,11,8,Friday,Kitchen table with 2 chairs and a bench,"Amazon","April 2022","Good","Includes two Ikea chairs and a bench",,,,,
7,drawer,3-drawer chest,$99.9,$39.9,11,1,Friday,3-layer wide white drawer,"Ikea","December 2022","Good",,,,,,
8,closet,Shelf unit,$129.2,$79.9,9,1,Sunday,KALLAX shelf unit black brown,"Ikea","November 2023","Execellent","Heavy",,,,,
9,lamp1,Floor lamp I,$33.1,$7.9,9,1,Sunday,LED floor lamp with touch and remote control,"Amazon","April 2022","Good","4 color",,,,,
10,lamp2,Floor lamp II,$59.9,$11.9,11,8,Friday,High lumen light for living rooms and offices,"Amazon","April 2022","Good","Dimmable indoor pole uplight",,,,,
11,light,White floor lamp,$54.4,$14.9,11,8,Friday,Multi-white shade floor lamp,"Amazon","April 2022","Normal","Adjustable gooseneck arms",High brightness output,Comes with multiple LED light bulbs,,,
12,fan,Fan,$52.9,$12.9,9,1,Sunday,Oscillating dual blade standing fan,"Amazon","June 2022","Execellent",,,,,,
13,mirror,Full length mirror,$15,$5.9,11,1,Friday,Full-size mirror for dress-up,"Amazon","July 2022","Good",,,,,,
14,oven,Microwave oven,$66.1,$19.9,11,6,Wednesday,Cute small microwave oven,"Amazon","April 2022","Good",,,,,,
15,rack,Laundry dryer,$26.9,$4.9,9,1,Sunday,Laundry drying rack,"Ikea","April 2022","Good",,,,,,
16,kettle,Eletric kettle,$20.94,Free,11,8,Friday,Electric 1.2L BPA-Free 1100W Glass Kettle Cordless,"Amazon","April 2022","Normal",,,,,,
17,mixer,Electric chopper,$36.0,Free,9,1,Sunday,Electric vegetable and meat chopper,"Amazon","April 2022","Normal",,,,,,
18,blender,Blender,$34.99,$8.9,9,1,Sunday,Electric blender for shakes and smoothies,"Amazon","October 2022","Normal",,,,,,
19,waffle,Waffle maker,$23.0,$6.9,9,1,Sunday,Belgian waffle maker iron for breakfast and snacks,"Amazon","July 2022","Execellent",,,,,,
20,shoes,Shoe rack,$30.8,Free,11,8,Friday,Shoe shelf for 15 paris,"Amazon","November 2023","Normal",,,,,,
21,dryer1,Hair dryer I,$11,$4.9,11,8,Friday,1875W mid-size hair dryer,"Amazon","July 2023","Normal",,,,,,
22,dryer2,Hair dryer II,$24.9,$9.9,9,1,Sunday,Light and fast hair dryer,"Amazon","April 2022","Normal","1875W stunning blowouts",,,,,
23,dish,Dish drying rack,$21.9,$6.9,11,1,Friday,Multipurpose drying rack for kitchen,"Amazon","May 2023","Normal","2 tier large capacity",,,,,
24,clock,Wall clock,$11.5,$2.9,9,1,Sunday,Modern wall clocks battery operated,"Amazon","May 2023","Execellent",,,,,,
25,curtain,Blackout curtain,$49.9,$14.9,9,1,Sunday,Blackout linen curtains,"Amazon","May 2023","Good","2 panels set",W50 X L84,The length of curtain rods is adjustable,,,
26,router,Wi-Fi router,$99.2,$19.9,11,8,Friday,NETGEAR cable modem Wi-Fi router combo C6250,"Amazon","Apirl 2023","Good","Cable plans up to 300Mbps",AC1600 Wi-Fi speed,,,,
27,bowl,Mixing bowl,$28.7,Free,9,1,Sunday,Large stainless steel mixing bowl,"Amazon","January 2023","Good","40 liters capacity",Diameter 55 cm,,,,
28,hamper,Laundry hamper,$33.1,$7.9,11,8,Friday,Rolling laundry hamper with built-in handle,"Amazon","January 2023","Good","Smooth gliding wheels",Ventilated design,,,,
29,brita,Brita dispenser,$41.9,$9.9,11,1,Friday,Water filter dispenser for tap and drinking water,"Amazon","January 2023","Good","No filters provided",,,,,
30,sidetable,Round side table,$39.9,$8.9,9,1,Sunday,Round end/side tables for living room,"Amazon","January 2024","Good","Gold color",,,,,
31,warmer,Candle lamp,$26.9,$11.9,9,1,Sunday,Candle warmer lamp with timer,"Amazon","January 2024","Execellent","Height adjustable",Timer,,,,
32,coffee,Coffee maker,$20.9,$4.9,9,1,Sunday,5-cup mini brew switch coffee maker,"Amazon","April 2022","Normal","Comes with ground coffee and a filter",,,,,
33,outlet,Charging station,$16.9,$8.9,11,8,Friday,"Power strip with USB C, USB, outlets","Amazon","April 2022","Good","5ft long extension cord",,,,,
34,stool,Stool,$38.56,$9.9,9,1,Sunday,Velvet round modern dressing stool,"Amazon","April 2022","Good",,,,,,
35,cooker,Rice cooker,$92.4,$14.9,11,8,Friday,6-cup rice cooker with nonstick inner pot,"Amazon","April 2022","Normal","Korean product",,,,,
36,speaker,Bluetooth speaker,$10,Free,9,1,Sunday,Small cute bluetooth speaker,"Secondhand","July 2023","Normal",,,,,,
37,pickle,Pickleball set,$20,$3.9,9,1,Sunday,Corona edition pickleball paddles set for two,"Secondhand","January 2024","Execellent","Two paddles and two balls",,,,,
38,shelf,Storage shelves,$10,Free,9,1,Sunday,4 tier multipurpose storage shelves,"Secondhand","January 2024","Normal",,,,,,